is_number,product_name,category,qco_name,scheme,mandatory,notification_ref,source_file,clause_ref,page_number
IS 9873 (Part 2),Safety of Toys - Flammability Requirements,Toys & Children Goods,"Toys (Quality Control) Order, 2020",Scheme-I (ISI Mark),True,DPIIT Toys QCO S.O. 858(E),qco-guidance.pdf,Clause 3 & Table 1,2
IS 9873 (Part 3),Safety of Toys - Migration of Certain Chemical Elements,Toys & Children Goods,"Toys (Quality Control) Order, 2020",Scheme-I (ISI Mark),True,DPIIT Toys QCO S.O. 858(E),qco-guidance.pdf,Clause 3 & Table 1,2
IS 4151,Protective Helmets for Two Wheeler Riders,Automotive & Safety,"Two Wheeler Helmets (Quality Control) Order, 2020",Scheme-I (ISI Mark),True,MoRTH QCO S.O. 4252(E),scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 3",40
IS 15683,Portable Fire Extinguishers - Performance and Construction,Fire Safety & Protection,"Fire Fighting Equipment (Quality Control) Order, 2023",Scheme-I (ISI Mark),True,DPIIT QCO S.O. 981(E),scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 3",42
IS 1417,"Gold and Gold Alloys, Jewellery/Artefacts - Fineness and Marking",Precious Metals & Hallmarking,"Hallmarking of Gold Jewellery and Artefacts Order, 2020",Hallmarking Scheme,True,Department of Consumer Affairs S.O. 202(E),scheme4-conformity.pdf,Clause 2.1 & Hallmarking Guidelines,3
IS 2112,"Silver and Silver Alloys, Jewellery/Artefacts - Fineness and Marking",Precious Metals & Hallmarking,"Hallmarking of Silver Artefacts Order, 2021",Hallmarking Scheme,False,Department of Consumer Affairs Guidance,scheme4-conformity.pdf,Clause 2.2,4
IS 12171: 2019,Cotton Bales - Specification,Textiles & Agriculture,"Cotton Bales (Quality Control) Order, 2023",Scheme-IV (CoC),True,Ministry of Textiles Notif. S.O. 935(E),scheme4-conformity.pdf,Clause 6.a & Schedule I,6
IS 17265: 2019,Viscose Staple Spun Yarn - Specification,Textiles & Agriculture,"Man-Made Fibres (Quality Control) Order, 2023",Scheme-IV (CoC),True,Ministry of Textiles S.O. 1205(E),scheme4-conformity.pdf,Clause 6.b,8
IS 17266: 2019,Polyester Continuous Filament Fully Drawn Yarn (FDY),Textiles & Agriculture,"Man-Made Fibres (Quality Control) Order, 2023",Scheme-IV (CoC),True,Ministry of Textiles S.O. 1206(E),scheme4-conformity.pdf,Clause 6.c,9
IS 15450,Mineral Water - Packaged Natural Mineral Water,Food & Agriculture,"Packaged Drinking Water (Quality Control) Order, 2001",Scheme-I (ISI Mark),True,FSSAI / S.O. 855(E),scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 3",45
IS 14543,Packaged Drinking Water (Other than Packaged Natural Mineral Water),Food & Agriculture,"Packaged Drinking Water (Quality Control) Order, 2001",Scheme-I (ISI Mark),True,FSSAI / S.O. 855(E),scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 3",46
IS 15298 (Part 2),Personal Protective Equipment - Safety Footwear,Automotive & Safety,"Footwear Made from Leather and Other Materials (Quality Control) Order, 2020",Scheme-I (ISI Mark),True,DPIIT QCO S.O. 4022(E),scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 3",48
